pair_id,decile,direction,episode_a,episode_b,total_j_a,total_j_b,n_common_scope_nodes_a,n_common_scope_nodes_b,share_flight_a,share_passenger_a,share_resource_a,share_flight_b,share_passenger_b,share_resource_b,rank_flight_a,rank_passenger_a,rank_resource_a,rank_flight_b,rank_passenger_b,rank_resource_b,flipped_channels,composition_different,focal_top1_change_rate_r3,focal_top1_change_rate_r1,reference_top1_change_rate_r3,reference_top1_change_rate_r1
1,0,A_TO_B,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:dc99925fe37b8a67137b8b43e1bc607abb03732380e63034ec46fd6eabe4d37a,93.50823782575691,175.17873616371293,2,7,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.28809739750507557,0.00020408554909321099,0.7116985169458313,1,3,2,2,3,1,Flight|Resource,True,0.0,0.0,0.0,0.0
1,0,B_TO_A,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:dc99925fe37b8a67137b8b43e1bc607abb03732380e63034ec46fd6eabe4d37a,93.50823782575691,175.17873616371293,2,7,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.28809739750507557,0.00020408554909321099,0.7116985169458313,1,3,2,2,3,1,Flight|Resource,True,0.0,0.0,0.0,0.0
2,0,A_TO_B,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:7ad35ec0017d1bb984fe4321d99f45a61e9ab7c6f2e5020ac21656dd8bbb7c0e,93.50823782575691,184.91647389909767,2,6,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.5518489578761899,0.0005138890143940294,0.44763715310941593,1,3,2,1,3,2,,False,0.0,0.0,0.0,0.0
2,0,B_TO_A,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:7ad35ec0017d1bb984fe4321d99f45a61e9ab7c6f2e5020ac21656dd8bbb7c0e,93.50823782575691,184.91647389909767,2,6,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.5518489578761899,0.0005138890143940294,0.44763715310941593,1,3,2,1,3,2,,False,0.0,0.0,0.0,0.0
3,0,A_TO_B,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:6d39926190538294f7153287c797b64afa70e4405610e6997c682a34d71f1f39,93.50823782575691,195.64059502873977,2,8,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.2597192310170106,0.001324725536520332,0.738956043446469,1,3,2,2,3,1,Flight|Resource,True,0.0,0.0,0.0,0.0
3,0,B_TO_A,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:6d39926190538294f7153287c797b64afa70e4405610e6997c682a34d71f1f39,93.50823782575691,195.64059502873977,2,8,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.2597192310170106,0.001324725536520332,0.738956043446469,1,3,2,2,3,1,Flight|Resource,True,0.0,0.0,0.0,0.0
4,0,A_TO_B,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,93.50823782575691,207.1315207392301,2,6,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.48426159667111507,0.0009279987856583866,0.5148104045432265,1,3,2,2,3,1,Flight|Resource,True,0.0,0.0,0.0,0.0
4,0,B_TO_A,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,93.50823782575691,207.1315207392301,2,6,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.48426159667111507,0.0009279987856583866,0.5148104045432265,1,3,2,2,3,1,Flight|Resource,True,0.0,0.0,0.0,0.0
5,0,A_TO_B,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:eca53de8bef95a075b99b1ec91d585d0bb644d1bd60fcda1ab7be7de3e98c7ab,93.50823782575691,210.33643127735039,2,6,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.5199876139881756,0.0003201568397864602,0.479692229172038,1,3,2,1,3,2,,False,0.0,0.0,0.0,0.0
5,0,B_TO_A,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:eca53de8bef95a075b99b1ec91d585d0bb644d1bd60fcda1ab7be7de3e98c7ab,93.50823782575691,210.33643127735039,2,6,0.6135614187797953,0.002315501130835089,0.38412308008936946,0.5199876139881756,0.0003201568397864602,0.479692229172038,1,3,2,1,3,2,,False,0.0,0.0,0.0,0.0
